"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Get measures like recreational cannabis up for vote. #LegalizeIt",FALSE,0,NA,2017-04-20 06:27:51,FALSE,NA,"854944685449728000",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaykubd",0,FALSE,FALSE,NA,NA
"Liberal Democrat leader #TimFarron calls for recreational use of cannabis to #TimFarron https://t.co/52b3tOpzNv",FALSE,0,NA,2017-04-20 06:27:13,FALSE,NA,"854944525852094464",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","kellyroosve",0,FALSE,FALSE,NA,NA
"#ImFreshOutOf patience for Texas' anachronistic cannabis laws.",FALSE,0,NA,2017-04-20 06:25:52,FALSE,NA,"854944184314335232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OpressedProgess",0,FALSE,FALSE,NA,NA
"Happy Cannabis Day! I hope everyone at #elitecupofficial in Amsterdam is having a blast.",FALSE,1,NA,2017-04-20 06:25:15,FALSE,NA,"854944031511646208",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","billgri",0,FALSE,FALSE,NA,NA
"I hope several cannabis smokers die today #happy420",FALSE,4,NA,2017-04-20 06:24:53,FALSE,NA,"854943936682635264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","feghouliballer",0,FALSE,FALSE,NA,NA
"Cannabis Crisis of Infinite Earths #StonedComicBooks",FALSE,0,NA,2017-04-20 06:24:50,FALSE,NA,"854943926465302528",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Freeway_OnlyWay",0,FALSE,FALSE,NA,NA
"@itzzkait Obviously don't blow smoke in your pets face but just so you know cannabis is actually good for animals!",FALSE,0,"itzzkait",2017-04-20 06:23:58,FALSE,"854893603813982208","854943708277493760","4867962663","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sixelAnonnahS",0,FALSE,FALSE,NA,NA
"Cannabis compound may halve seizures for patients with severe epilepsy - https://t.co/esW1LXXHVF Also: Big Pharma and Cannabis",FALSE,0,NA,2017-04-20 06:22:54,FALSE,NA,"854943436897734656",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","CoffeeShopRabbi",0,FALSE,FALSE,NA,NA
"smoking &amp; celebrating cannabis 'cause it's 4/20 @greysonchance <ed><U+00A0><U+00BD><ed><U+00B9><U+0088>",FALSE,0,NA,2017-04-20 06:22:37,FALSE,NA,"854943367997800449",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CamilleAdarna",0,FALSE,FALSE,NA,NA
"Hot off the press! The Kind Buds Inc: #CannaCommunityGivers Daily is out! https://t.co/jb6xWnhMqk #cannabis #thc",FALSE,0,NA,2017-04-20 06:21:57,FALSE,NA,"854943200213180416",NA,"<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>","kindbudsinc",0,FALSE,FALSE,NA,NA
