"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"We are looking for WA &amp; OR cannabis wholesalers to try our service for free! Give us 15 minutes and we'll demo a sales game changer.",FALSE,0,NA,2017-05-11 20:29:35,FALSE,NA,"862766657445527552",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","missy_buzz",0,FALSE,FALSE,NA,NA,"Chicago, IL","en","http://pbs.twimg.com/profile_images/730533653726400512/ENQ-EINz_normal.jpg"
"U a #cannabis cultivator in #California's North Coast? Don't miss @CA_Pesticides 5/31 pesticide #Eureka training! https://t.co/tTJPLsHTpz",FALSE,1,NA,2017-05-11 20:29:03,FALSE,NA,"862766524037087232",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CannaBizLawyer",0,FALSE,FALSE,NA,NA,"Los Angeles, CA","en","http://pbs.twimg.com/profile_images/460918190306906113/CQ7fWc4l_normal.png"
"So same price as a pack of chewing gum right?
 https://t.co/rukwnfr9Nm",FALSE,0,NA,2017-05-11 20:28:50,FALSE,NA,"862766471323107328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kannakreamery",0,FALSE,FALSE,NA,NA,"Greater Vancouver","en","http://pbs.twimg.com/profile_images/829187887962943490/EYfD3_un_normal.jpg"
"@KTRTRS Dear KTR, USA and others have Cannabis(Bhang) oil as a medical treatment for many health issues. Why not have a law to allow this?",FALSE,0,"KTRTRS",2017-05-11 20:28:34,FALSE,NA,"862766402825891840","118787224","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","gopalsndp",0,FALSE,FALSE,NA,NA,"","en","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"I just wanna rub cannabis oil all over my body and go tanning on the beach with a a frozen margarita .. .

Too much <ed><U+00A0><U+00BE><ed><U+00B4><U+0094> or nah <ed><U+00A0><U+00BD><ed><U+00B8><U+008E>",FALSE,0,NA,2017-05-11 20:28:14,FALSE,NA,"862766317669101573",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","indie_5oo",0,FALSE,FALSE,NA,NA,"CT","en","http://pbs.twimg.com/profile_images/857474926533648384/nnxHYNsQ_normal.jpg"
"Hearin the birds freely chirping away makes me feel so happy",FALSE,0,NA,2017-05-11 20:27:55,FALSE,NA,"862766237738299395",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","that_cannabis",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/852664314209202176/nUluE283_normal.jpg"
"""I know what'll fix the opiate addiction crisis! Another addictive drug! 

It's called cannabis...and it's all natural!"" smh",FALSE,0,NA,2017-05-11 20:26:28,FALSE,NA,"862765873865543680",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","touch_rustrod",0,FALSE,FALSE,NA,NA,"Arizona, USA","en","http://pbs.twimg.com/profile_images/862665996032659456/VKA02GXQ_normal.jpg"
"@jaderidge420 @KirkTousaw @CBCTheNational @CBCPolitics @CBC This part of the legalization doesn't make sense to me.… https://t.co/VXvvxR8bLn",FALSE,1,"jaderidge420",2017-05-11 20:25:30,TRUE,"862758064838983680","862765628918304768","4760989556","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PriscillaLavell",1,FALSE,FALSE,NA,NA,"Ontario, Canada","en","http://pbs.twimg.com/profile_images/768272712754089984/mNjpeFqT_normal.jpg"
"Comedian Lil Duval Is Down With Getting High At Church Of Cannabis | TMZ TV https://t.co/ZitDRXZx1c",FALSE,0,NA,2017-05-11 20:25:28,FALSE,NA,"862765622786113538",NA,"<a href=""http://www.theproperdate.com"" rel=""nofollow"">TheProperDate</a>","theproperdate",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/618252337375612933/eZN1cUWQ_normal.png"
"#Cannabis Company Designs Pain Patch For #Fibromyalgia And Nerve #Pain https://t.co/h4UTXjD13P",FALSE,4,NA,2017-05-11 20:25:12,FALSE,NA,"862765556985974784",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Hemptres",5,FALSE,FALSE,NA,NA,"United States","en","http://pbs.twimg.com/profile_images/630129513624666112/9LUHFVWh_normal.jpg"
"like cannabis infused  white chocolate? im down lmfao",FALSE,1,NA,2017-05-11 20:24:47,FALSE,NA,"862765449540284416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","slatersvn",0,FALSE,FALSE,NA,NA,"Las Vegass","en","http://pbs.twimg.com/profile_images/854159401740943360/tBSTo9Yz_normal.jpg"
"Stop texting, emailing, and calling customers to inform them about your cannabis products. Instead, share a link and be done. Ask us how!",FALSE,0,NA,2017-05-11 20:24:30,FALSE,NA,"862765377452945413",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","missy_buzz",0,FALSE,FALSE,NA,NA,"Chicago, IL","en","http://pbs.twimg.com/profile_images/730533653726400512/ENQ-EINz_normal.jpg"
"New Hampshire on Verge of Decriminalizing Cannabis Possession https://t.co/mpiIF8SAr6",FALSE,0,NA,2017-05-11 20:24:18,FALSE,NA,"862765329440587776",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","PreciseCannabis",0,FALSE,FALSE,NA,NA,"San Francisco | Los Angeles","en","http://pbs.twimg.com/profile_images/776570203115167744/qQAHL7RH_normal.jpg"
