"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@HRVY What are pot noodles? And please follow me<ed><U+00A0><U+00BD><ed><U+00B2><U+009B>",FALSE,0,"HRVY",2018-02-23 06:41:49,FALSE,"966922120419688454","966926047533920256","1370583313","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SupportiveCV",0,FALSE,FALSE,NA,NA
"I’ll just continue on stirring the pot as long as you continue to play the same damn games. #annoyed",FALSE,0,NA,2018-02-23 06:41:47,FALSE,NA,"966926042941108224",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Merpulez",0,FALSE,FALSE,NA,NA
"You know you're becoming a true adult when you want an air fryer and an Instant Pot. My recipe options would be endless.",FALSE,0,NA,2018-02-23 06:41:23,FALSE,NA,"966925940713385989",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hannerfannerz",0,FALSE,FALSE,NA,NA
"Idk what’s going on in y’all heads . These pot holes about to help me financially . God bless yall<U+270C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD>",FALSE,0,NA,2018-02-23 06:41:19,FALSE,NA,"966925925626474496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","adoremexx",0,FALSE,FALSE,NA,NA
"@KirkTousaw Do you assume that the Potheads will line up at your door to inform you on how their mental illness was… https://t.co/dUKfV1uTtf",FALSE,0,"KirkTousaw",2018-02-23 06:41:01,TRUE,"966819598724079616","966925848224743424","16197974","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","gemini00276",0,FALSE,FALSE,NA,NA
"I ever hear your pot o' gold sean spicer.",FALSE,0,NA,2018-02-23 06:40:42,FALSE,NA,"966925766687469568",NA,"<a href=""https://twitter.com/TTOURBOT"" rel=""nofollow"">TTOURBOT</a>","TTOURBOT",0,FALSE,FALSE,NA,NA
"@mobilemutt @yiffables lookit that lil pot belly! <U+2764>",FALSE,0,"mobilemutt",2018-02-23 06:39:57,FALSE,"966914703317348353","966925581337075712","37551976","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RakaraBatFruit",0,FALSE,FALSE,NA,NA
"@AP Well if'n that ain't the pot calling the kettle black...",FALSE,0,"AP",2018-02-23 06:38:56,FALSE,"966908260803489794","966925325509644289","51241574","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Augustwest630G",0,FALSE,FALSE,NA,NA
"@GTSPipeBomb @rachelacrosby Broward County is majority Democrat. The majority of gun murders occur in Democrat cont… https://t.co/1iaKP76qhx",FALSE,0,"GTSPipeBomb",2018-02-23 06:38:45,TRUE,"966871010598416385","966925276235022338","420969400","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ExNinja95",0,FALSE,FALSE,NA,NA
"@sfX_x1 I just don’t get why it’s funny and why you or anyone in this community feels the need to try to stir the p… https://t.co/MbZqE4Tj8e",FALSE,0,"sfX_x1",2018-02-23 06:38:43,TRUE,"966922958307344385","966925271097008128","3379375204","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_marketflowers",0,FALSE,FALSE,NA,NA
