"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"weed y/n?",FALSE,0,NA,2018-02-02 09:33:23,FALSE,NA,"959359082212745218",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","mayajrbot",0,FALSE,FALSE,NA,NA
"Any VIP's out there that actually smoke up tho? Wya? Hmu. 

Let us advocate for weed and BIGBANG.

The. Best. Combo. Ever.",FALSE,0,NA,2018-02-02 09:33:09,FALSE,NA,"959359021110063104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cutitb88",0,FALSE,FALSE,NA,NA
"@MrsEmmaJK Good thread to weed out some nasties and report/block though..",FALSE,0,"MrsEmmaJK",2018-02-02 09:33:00,FALSE,"959356669586214912","959358984091291648","2615343449","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","superkrispydj",0,FALSE,FALSE,NA,NA
"@MetroUK Change it to a weed coffee shop then, people will want to get comfy write poetry. <ed><U+00A0><U+00BD><ed><U+00B9><U+0084>",FALSE,0,"MetroUK",2018-02-02 09:32:51,FALSE,"959357601501806592","959358946921377793","138749160","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Victorialush",0,FALSE,FALSE,NA,NA
"Some girls are like bag of weed. You love her but you can't introduce her to your family",FALSE,0,NA,2018-02-02 09:32:46,FALSE,NA,"959358927438864384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","luh_radebe3",0,FALSE,FALSE,NA,NA
"count the money roll the weed up, heavy camp up",FALSE,0,NA,2018-02-02 09:32:40,FALSE,NA,"959358900859559936",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Dakota_Karzell",0,FALSE,FALSE,NA,NA
"Is Sam Smith’s Burning about smoking weed?",FALSE,0,NA,2018-02-02 09:32:06,FALSE,NA,"959358758530027520",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tiraslit",0,FALSE,FALSE,NA,NA
"am i really awake, doing a full face of make up while a 15 y/o grinds my weed &amp; loads a bowl? yes. yes i am.",FALSE,0,NA,2018-02-02 09:32:03,FALSE,NA,"959358745754169349",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ksssbbb",0,FALSE,FALSE,NA,NA
"I really want to get away from alcohol and weed for a good while so starting tmr I'm a new person<ed><U+00A0><U+00BE><ed><U+00B4><U+00A7>",FALSE,0,NA,2018-02-02 09:32:03,FALSE,NA,"959358745091432448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","xnatr_",0,FALSE,FALSE,NA,NA
"@MomoMischief Weed",FALSE,0,"MomoMischief",2018-02-02 09:32:01,FALSE,"959263782290710530","959358736383946753","3285354997","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheOGbernie",0,FALSE,FALSE,NA,NA
"I need weed.
YA.",FALSE,0,NA,2018-02-02 09:31:57,FALSE,NA,"959358718877032448",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MajoForesi",0,FALSE,FALSE,NA,NA
"#TweepWriter 2: others describe my MC much the same as she describes herself - too skinny, smokes too much weed, ha… https://t.co/fwGwMKe3gL",FALSE,0,NA,2018-02-02 09:31:53,TRUE,NA,"959358702582140928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ElisiaGSEF",0,FALSE,FALSE,NA,NA
"@LadyLumb @trgrrl cuz when i smoke everything takes too long it took me 4 hours to finish an origin in dragon age… https://t.co/8LZKVOTLY9",FALSE,1,"LadyLumb",2018-02-02 09:31:41,TRUE,"959358262133997568","959358653848588288","1087543351","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ozeanna__",0,FALSE,FALSE,NA,NA
"Smoke weed everyday. Even if it's just a lil bit. Also pay rent first.",FALSE,0,NA,2018-02-02 09:31:03,FALSE,NA,"959358492661428224",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","johnpuredumb",0,FALSE,FALSE,NA,NA
"Smoke weed erryday",FALSE,0,NA,2018-02-02 09:30:51,FALSE,NA,"959358441272721408",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","SorasBot",0,FALSE,FALSE,NA,NA
"She don't even roll the weed
All she do is roll her eyes",FALSE,0,NA,2018-02-02 09:30:20,FALSE,NA,"959358314688610304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kevin_sahay",0,FALSE,FALSE,NA,NA
"someone smoke me out with that legal california weed tho",FALSE,0,NA,2018-02-02 09:30:14,FALSE,NA,"959358285856976896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","isabelbarri99",0,FALSE,FALSE,NA,NA
"@trgrrl @LadyLumb im going weed free until the weekend and honestly idk why im doing it to myself",FALSE,1,"trgrrl",2018-02-02 09:29:11,FALSE,"959222354470756352","959358023625072642","957399666416644096","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ozeanna__",0,FALSE,FALSE,NA,NA
"@ShekharGupta Still high on weed given by your UPA owners? <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",FALSE,0,"ShekharGupta",2018-02-02 09:28:52,FALSE,"959085987421937664","959357944142991361","2574072036","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AtulM2109",0,FALSE,FALSE,NA,NA
"@Quo_Djo <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> he make like some guy he dey come weed wona house.. edu ah I go video am show u",FALSE,0,"Quo_Djo",2018-02-02 09:28:46,FALSE,"959356879423098880","959357917567823872","376706283","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yaw_terryble",0,FALSE,FALSE,NA,NA
"Bt2 take a weed nap til noon",FALSE,0,NA,2018-02-02 09:28:45,FALSE,NA,"959357912496951296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KcKvon",0,FALSE,FALSE,NA,NA
"@kaisqx Ive eaten chillis before, i think i can handle weed",FALSE,0,"kaisqx",2018-02-02 09:28:40,FALSE,"959356851518283776","959357892741574656","889565557216772096","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","official_kook",0,FALSE,FALSE,NA,NA
"@JOYNEWSONTV no amount of weed can make u high as this dude.. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",FALSE,0,"JOYNEWSONTV",2018-02-02 09:28:31,FALSE,"959069527538618368","959357854825287680","610124383","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","richbolix",0,FALSE,FALSE,NA,NA
"Like my weed like my bitches hella <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>",FALSE,0,NA,2018-02-02 09:28:31,FALSE,NA,"959357854573449216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MunchiezTheDon",0,FALSE,FALSE,NA,NA
"@_majesticalexis you can’t post videos smoking weed. you won’t make money off them.",FALSE,0,"_majesticalexis",2018-02-02 09:28:19,FALSE,"959168821008334849","959357803684012032","939316920569905152","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","martinnchipz",0,FALSE,FALSE,NA,NA
"@jessicadroeger @benjaminwolfwtf @benjaminwolfBTW Instead its, weed, weed, student debt, weed, wolf victory, weed,… https://t.co/k1XTUJkUWK",FALSE,0,"dayofthedot",2018-02-02 09:28:08,TRUE,"959356629580943362","959357759119613953","945712845496471552","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dayofthedot",0,FALSE,FALSE,NA,NA
"WHO MORE REALER , WEED IN A 4 WHEELER . F MIKE , UNTIL YOU SEE ME YOU NEVER SAW THRILLER .",FALSE,0,NA,2018-02-02 09:28:07,FALSE,NA,"959357753771704320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kvshymane",0,FALSE,FALSE,NA,NA
"@Saizeriya_Nara jotful?",FALSE,0,"Saizeriya_Nara",2018-02-02 09:27:55,FALSE,"959356829774966785","959357706103484416","957671110899785728","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","weed_96hectar",0,FALSE,FALSE,NA,NA
