"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"@summerbaiiley @WyattHanke Lmao too bad you have school tomorrow just got some fire kush! Hmu when you get out nigg",FALSE,1,"summerbaiiley",2017-05-09 05:52:49,FALSE,"861820996394786817","861821236212400128","740808991224279040","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Suckmyashlynne",0,FALSE,FALSE,NA,NA,"Marysville, WA","en","http://pbs.twimg.com/profile_images/860010776735563777/qRKJBzr1_normal.jpg"
"Hmu for that bomb kush ! Dank indica on deCk !<ed><U+00A0><U+00BD><ed><U+00B4><U+008C><ed><U+00A0><U+00BD><ed><U+00B3><U+00B2><ed><U+00A0><U+00BD><ed><U+00B3><U+009E>",FALSE,0,NA,2017-05-09 05:52:02,FALSE,NA,"861821042234277888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JtEscalera",0,FALSE,FALSE,NA,NA,"Los Angeles St n MerCed ! BP","en","http://pbs.twimg.com/profile_images/857442757782130688/9pMaMq9B_normal.jpg"
"Does anywhere know where I can get some ""dank kush?""",FALSE,0,NA,2017-05-09 05:51:41,FALSE,NA,"861820951192674304",NA,"<a href=""https://twitter.com/YumenoHimikoBot"" rel=""nofollow"">HimikoBot</a>","YumenoHimikoBot",0,FALSE,FALSE,NA,NA,"Gay Baby Jail","en","http://pbs.twimg.com/profile_images/833240342296141824/SJZnwByX_normal.jpg"
"I feel pretty fucking great",FALSE,0,NA,2017-05-09 05:50:46,FALSE,NA,"861820722171318272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","blasian_Kush",0,FALSE,FALSE,NA,NA,"Finding Me","en","http://pbs.twimg.com/profile_images/857411880717078529/Rk5X9l16_normal.jpg"
"India's Kush Maini missed the podium by a whisker in the second round of the Italian F4 Championship at the Adria... https://t.co/MJC29ITOlM",FALSE,0,NA,2017-05-09 05:50:41,FALSE,NA,"861820700398690304",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","fmsci",0,FALSE,FALSE,NA,NA,"India","en","http://pbs.twimg.com/profile_images/842248158122020864/BvOTKQrc_normal.jpg"
"Who need the kush <ed><U+00A0><U+00BC><ed><U+00BD><U+0083><ed><U+00A0><U+00BC><ed><U+00BC><U+00AC>",FALSE,0,NA,2017-05-09 05:49:37,FALSE,NA,"861820432860696576",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","JAY_FRESHBRO",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/2005049910/523242_278175662263821_100002141686328_630491_1081092451_n_normal.jpg"
"Very few things in life rival my love for desert thunderstorms.",FALSE,0,NA,2017-05-09 05:49:23,FALSE,NA,"861820371657310208",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","kush_tastic",0,FALSE,FALSE,NA,NA,"Arizona, USA","en","http://pbs.twimg.com/profile_images/458747679745404929/bqDfRW0e_normal.jpeg"
"@____BandzOnMe @KuSH_bMyCologne Tell him I said wassup",FALSE,0,"____BandzOnMe",2017-05-09 05:49:07,FALSE,"861815591748947969","861820305362354176","2875125508","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","elexamichele",0,FALSE,FALSE,NA,NA,"Memphis","en","http://pbs.twimg.com/profile_images/854925641036201984/hvTtoJsI_normal.jpg"
"""Things could be worse"" usually sets my mood, except for right now.. realizing I've made the same mistake and haven't been wiser, disaster.",FALSE,0,NA,2017-05-09 05:48:37,FALSE,NA,"861820178656624640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kush_M0nster",0,FALSE,FALSE,NA,NA,"613","en","http://pbs.twimg.com/profile_images/793047460860002308/Aw4EDXDv_normal.jpg"
"classic dude wearing a sleep shirt smoking weed",FALSE,0,NA,2017-05-09 05:47:30,FALSE,NA,"861819901425483777",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kush_dad",0,FALSE,FALSE,NA,NA,"Purgatory","en","http://pbs.twimg.com/profile_images/720877237554139137/Co41Uvn-_normal.jpg"
"Kush did 9/11. The Death of Miguel Prado.",FALSE,0,NA,2017-05-09 05:46:55,FALSE,NA,"861819752695681024",NA,"<a href=""http://www.basednapkin.com"" rel=""nofollow"">fapkin</a>","FAPKlN",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/669001438492659712/i4slbE5J_normal.jpg"
"Kush is my cologne x Gucci &gt;&gt;&gt;&gt;&gt;&gt;",FALSE,0,NA,2017-05-09 05:44:41,FALSE,NA,"861819189799010309",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Chiraq_Dee",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/857429261719752706/yM5JJQi6_normal.jpg"
"Pineapple kush between my jaws got me feeling like I'm on top, feeling like I woulda stand up to the cops",FALSE,0,NA,2017-05-09 05:35:07,FALSE,NA,"861816783337955328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mammahefff",0,FALSE,FALSE,NA,NA,"Sunnyside, OR","en","http://pbs.twimg.com/profile_images/859930894144073728/HQZKMf96_normal.jpg"
"Kush in my lungs and I’ll die in my sleep",FALSE,2,NA,2017-05-09 05:34:33,FALSE,NA,"861816640761155584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fickdichhaltung",0,FALSE,FALSE,NA,NA,"Berlin, Deutschland","de","http://pbs.twimg.com/profile_images/860945364521766913/3dO7pCf3_normal.jpg"
"@idkPara dank wars: revenge of the kush",FALSE,0,"idkPara",2017-05-09 05:33:14,FALSE,"861816110760345600","861816309608263680","732773281233674240","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ZachSeever",0,FALSE,FALSE,NA,NA,"San Diego","en","http://pbs.twimg.com/profile_images/663043087720013824/awIQeODo_normal.jpg"
"Kush one of a kind",FALSE,0,NA,2017-05-09 05:32:58,FALSE,NA,"861816243627720704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Winner_I_AM",0,FALSE,FALSE,NA,NA,"Muddy Waters, Louisiana ","en","http://pbs.twimg.com/profile_images/861664632922152960/cL2S57rM_normal.jpg"
"Tomorrow I get to go to sleep. Make them real wit da kush.",FALSE,0,NA,2017-05-09 05:32:10,FALSE,NA,"861816039377698816",NA,"<a href=""http://readwrite.com/2014/06/20/random-non-sequitur-twitter-bot-instructions"" rel=""nofollow"">Natedawg_Ebooks</a>","Natedawg_ebooks",0,FALSE,FALSE,NA,NA,"@ndawg_4's computer","en","http://pbs.twimg.com/profile_images/566145373786230784/iL1ROX8D_normal.jpeg"
"Hold my kush like a cigarette <U+270C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD>",FALSE,0,NA,2017-05-09 05:31:42,FALSE,NA,"861815923757461504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Katezz_Baby",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/850563350945832960/808HuhqI_normal.jpg"
"My Day1 bac on Da town @KuSH_bMyCologne",FALSE,0,NA,2017-05-09 05:30:23,FALSE,NA,"861815591748947969",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","____BandzOnMe",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/861704698864250880/aRAw-ruU_normal.jpg"
"Kush ups <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>",FALSE,0,NA,2017-05-09 05:29:23,FALSE,NA,"861815341831344128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Twenty_Ty_Sav",0,FALSE,FALSE,NA,NA,"Bath, ME","en","http://pbs.twimg.com/profile_images/860292007297781765/MEqPqb7w_normal.jpg"
"straight from the kush mountains in Iran",FALSE,5,NA,2017-05-09 05:29:20,FALSE,NA,"861815327549566978",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sophiehart22",0,FALSE,FALSE,NA,NA,"Camas, WA","en","http://pbs.twimg.com/profile_images/850134151915216896/nYLgFBKM_normal.jpg"
