"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"America's addiction to opioids shows the great dangers of following a drug legalisation path. https://t.co/yx16PjnoNK",FALSE,0,NA,2017-04-30 06:45:06,FALSE,NA,"858572904220565504",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","TradBritGroup",0,FALSE,FALSE,NA,NA
"#WydAsSatafricanPresident

I'll take a look again on the legalisation of marijuana",FALSE,0,NA,2017-04-30 06:43:02,FALSE,NA,"858572384957333505",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Thedumza",0,FALSE,FALSE,NA,NA
"my grandparents were like what do you wanna go after school mija I said open my own business .. my grandpa was like MARIJUANA",FALSE,0,NA,2017-04-30 06:42:56,FALSE,NA,"858572360646930432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kattyflannagan",0,FALSE,FALSE,NA,NA
"""#Alcohol and #marijuana, if used in moderation, plus loud, low music, make stress and boredom infinitely more bearable."" – #KurtVonnegut",FALSE,0,NA,2017-04-30 06:41:27,FALSE,NA,"858571987245043712",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","faerieskeep",0,FALSE,FALSE,NA,NA
"Temperature Guide to Vaporization. https://t.co/hHlj5aD3QN #marijuana #vaporizer #weed @LegalSmokeShop7",FALSE,0,NA,2017-04-30 06:40:42,FALSE,NA,"858571795162693635",NA,"<a href=""http://yodabbadabba.com"" rel=""nofollow"">YDD-Tweeter</a>","yodabba",0,FALSE,FALSE,NA,NA
"Medical marijuana can force cancer cells to freeze and prevent them from spreading.",FALSE,3,NA,2017-04-30 06:40:09,FALSE,NA,"858571660437409792",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","FactsInYourFace",1,FALSE,FALSE,NA,NA
"The health and economic benefits of medical marijuana https://t.co/6mjCPz5fMq",FALSE,0,NA,2017-04-30 06:39:25,FALSE,NA,"858571472289374210",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","MedischeWiet",0,FALSE,FALSE,NA,NA
"@clintonyates Satan mastatan influences music through marijuana, really?!! You have to have talent first 'cause mar… https://t.co/LLcIRtjwYo",FALSE,0,"clintonyates",2017-04-30 06:38:38,TRUE,"858351019515838464","858571277862400000","21920875","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","fred_sisneros",0,FALSE,FALSE,NA,NA
"During Democrats Presidential Debate legal #weed came up (https://t.co/xMiDN82MEU) &amp; guess what Sanders said?",FALSE,0,NA,2017-04-30 06:36:35,FALSE,NA,"858570762810253312",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","weedstorereview",0,FALSE,FALSE,NA,NA
"""Legalize marijuana, and release prisoners who are incarcerated for it.” ~ Mark Cuban",FALSE,0,NA,2017-04-30 06:35:22,FALSE,NA,"858570453807443968",NA,"<a href=""https://www.botlibre.com"" rel=""nofollow"">Bot Libre!</a>","KushInvestor",0,FALSE,FALSE,NA,NA
"I HAVE VARIETIES OF PAIN &amp; ANXIETY MEDS-MARIJUANA,VALUM,XANX,NEMBUTAL,OXYCONTIN,HYDRO,PERCOCERT,ROXI etc
 (775) 464-1597",FALSE,0,NA,2017-04-30 06:33:18,FALSE,NA,"858569936477839360",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Anderso58944927",0,FALSE,FALSE,NA,NA
"@trutherbotornge Then why grow it when we could have double-duty with marijuana and still have the same fiberous material AND medicines?",FALSE,0,"trutherbotornge",2017-04-30 06:33:10,FALSE,"858554020398583808","858569900532654081","3385236489","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","merittcon",0,FALSE,FALSE,NA,NA
"Bryan pastor joins fight for medical marijuana https://t.co/QdmupY9kDN",FALSE,0,NA,2017-04-30 06:32:31,FALSE,NA,"858569736237527041",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","weedtronic",0,FALSE,FALSE,NA,NA
"There is cremated, his ashes were mixed with marijuana and smoked by members of his hip-hip group, Outlawz.",FALSE,1,NA,2017-04-30 06:32:01,FALSE,NA,"858569612115537920",NA,"<a href=""https://twitter.com/taizou_hori"" rel=""nofollow"">factbot2k16</a>","truefactsbot",0,FALSE,FALSE,NA,NA
"U.S. Postal Service refuses to deliver box of tax cash from Alaskan pot shop #cbd https://t.co/4jFllrkOlA",FALSE,0,NA,2017-04-30 06:31:20,FALSE,NA,"858569437603123201",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","CbdolKatja",0,FALSE,FALSE,NA,NA
"@JustSikko @LogicalHater @Waynetronics Yeah last November...Rhode Island is now trying to legalize weed before Mass… https://t.co/Zg5u838ebA",FALSE,1,"JustSikko",2017-04-30 06:30:36,TRUE,"858568168788246528","858569255998152705","336453503","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jaykelly26",0,FALSE,FALSE,NA,NA
"Hundreds apply for limited permits to grow, sell medical marijuana in Pa. https://t.co/fo1u1Ei7JW",FALSE,0,NA,2017-04-30 06:28:30,FALSE,NA,"858568726198730752",NA,"<a href=""http://daggamagazine.com"" rel=""nofollow"">Dagga Magazine</a>","DaggaMagazine",0,FALSE,FALSE,NA,NA
"Bryan pastor joins fight for medical marijuana https://t.co/OxtAv5zU20",FALSE,0,NA,2017-04-30 06:28:26,FALSE,NA,"858568711388540928",NA,"<a href=""http://daggamagazine.com"" rel=""nofollow"">Dagga Magazine</a>","DaggaMagazine",0,FALSE,FALSE,NA,NA
"coffee, alcohol, cocaine, mushrooms, marijuana, laughing gas?",FALSE,0,NA,2017-04-30 06:26:37,FALSE,NA,"858568250765869056",NA,"<a href=""http://charlesreid1.github.io/imaginary-friends"" rel=""nofollow"">charles reid's imaginary friends</a>","gbf_fiveam",0,FALSE,FALSE,NA,NA
"please enlighten me if you know a good place to buy marijuana seeds; specifically for the white widow strain...",FALSE,0,NA,2017-04-30 06:26:07,FALSE,NA,"858568126459293696",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","xX_Nice_Guy_Xx",0,FALSE,FALSE,NA,NA
"@Fog_Raww @joerogan Do some research instead of relying on bias and you'll learn that Crowder's views on marijuana… https://t.co/48WPAIaRVg",FALSE,1,"Fog_Raww",2017-04-30 06:25:48,TRUE,"858567097714184192","858568046801190912","454307074","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ConicoTZ",0,FALSE,FALSE,NA,NA
"@Veteran4Trump @MaxSteel747 @HorseShort @mplay0000 @CLIFFBELL888 @DaynaGould @BarbMuenchen @TRUMPMAGA4LIFE… https://t.co/ycsxmlhIWz",FALSE,0,"Veteran4Trump",2017-04-30 06:24:11,TRUE,"858372483321384960","858567638825545729","3293118434","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Dave_Bodor",0,FALSE,FALSE,NA,NA
"Mexico’s lower house approves medical uses of marijuana – Washington Post https://t.co/RKI1CJaBur",FALSE,0,NA,2017-04-30 06:23:05,FALSE,NA,"858567365142990850",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","MeshellyGeorge",0,FALSE,FALSE,NA,NA
"#California released medical #marijuana draft regulations https://t.co/vwYPUsZxoJ #Investing #investor @CherylShuman https://t.co/8SLBUk6JrR",FALSE,1,NA,2017-04-30 06:23:00,FALSE,NA,"858567344355987456",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","CherylShuman",0,FALSE,FALSE,NA,NA
"Marijuana Shown Successful in the treatment of Autism: https://t.co/XZkwd5C4xq #marijuana",FALSE,0,NA,2017-04-30 06:22:59,FALSE,NA,"858567339394183170",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","Ramadan_101",0,FALSE,FALSE,NA,NA
"@jtibbs62 @PlannedSickDays That's a marijuana stick #thug #suspend #him",FALSE,1,"jtibbs62",2017-04-30 06:22:15,FALSE,"858449654631018496","858567153917636610","1869379650","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BrettTobin",0,FALSE,FALSE,NA,NA
"The really good thing about marijuana is that you can't get high as hell and you ain't gotta worry about dying. You might think you did",FALSE,1,NA,2017-04-30 06:22:00,FALSE,NA,"858567089904287745",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OfficiallyKingJ",0,FALSE,FALSE,NA,NA
"#marijuana Hundreds apply for limited permits to grow, sell medical marijuana in Pa. - Scranton Times-Tribune … https://t.co/CUmyQI92Wu",FALSE,0,NA,2017-04-30 06:21:25,FALSE,NA,"858566944043257856",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","PacificBeachMJ",0,FALSE,FALSE,NA,NA
"@OfficialLivePD If someone has a marijuana medical card will most states accept that if they are caught with marijuana?",FALSE,0,"OfficialLivePD",2017-04-30 06:21:08,FALSE,"858150515229810688","858566871762612224","841359321988513793","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mark_LV",0,FALSE,FALSE,NA,NA
"What Is the World's Favorite Drug? https://t.co/qbKwxU9F5V #marijuana",FALSE,0,NA,2017-04-30 06:20:51,FALSE,NA,"858566802888151040",NA,"<a href=""http://greenscenemarketing.com"" rel=""nofollow"">ChristianGSM Scheduler App</a>","GSMChristian",0,FALSE,FALSE,NA,NA
"Shifting tobacco fields to marijuana would be the best thing to happen to the south.",FALSE,4,NA,2017-04-30 06:19:33,FALSE,NA,"858566472351621120",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mulegirl",1,FALSE,FALSE,NA,NA
"A big thank you to all local DJs who play marijuana themed music at 4:20. You're doing god's work.",FALSE,0,NA,2017-04-30 06:19:10,FALSE,NA,"858566378076258304",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","aV3iat24efo9tK7",0,FALSE,FALSE,NA,NA
"America's national parks to humans laugh, gives birth to make homemade baked bread to reintroduce fishers https://t.co/348tZDNm73",FALSE,0,NA,2017-04-30 06:19:09,FALSE,NA,"858566374951723009",NA,"<a href=""http://www.dignitree.com"" rel=""nofollow"">Dignitree</a>","dignitree",0,FALSE,FALSE,NA,NA
"The Surprising Thing Marijuana and Hot Peppers Have in Common @alternet https://t.co/IzpLRDOiqS",FALSE,0,NA,2017-04-30 06:17:54,FALSE,NA,"858566059539943430",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","obtusemental2",0,FALSE,FALSE,NA,NA
"@awesome Gone! Work less party, gone! Marijuana party gone at provincial level. No libertarians even.",FALSE,1,"awesome",2017-04-30 06:15:03,FALSE,"858564289300316160","858565339684024320","5665422","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gregeh",0,FALSE,FALSE,NA,NA
"Mexico’s lower house approves medical uses of marijuana – Washington Post
https://t.co/eCli3IB8j1",FALSE,1,NA,2017-04-30 06:14:18,FALSE,NA,"858565153692012544",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","droolindog",0,FALSE,FALSE,NA,NA
"best thing about living in nevada? legalized marijuana.",FALSE,2,NA,2017-04-30 06:14:18,FALSE,NA,"858565153507483650",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","__chelseameagan",0,FALSE,FALSE,NA,NA
"Hundreds apply for limited permits to grow, sell medical marijuana in Pa. – Scranton Times-Tribune
https://t.co/WPYuQjGsK3",FALSE,0,NA,2017-04-30 06:14:18,FALSE,NA,"858565152106590208",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","droolindog",0,FALSE,FALSE,NA,NA
"""I love to spread the smell of marijuana eveywhere I go""",FALSE,1,NA,2017-04-30 06:13:46,FALSE,NA,"858565018928816128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vlmvlillivn",0,FALSE,FALSE,NA,NA
"Hundreds apply for limited permits to grow, sell medical marijuana in Pa. – Scranton Times-Tribune https://t.co/BZBjl1ciNj",FALSE,0,NA,2017-04-30 06:13:17,FALSE,NA,"858564895687790593",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","MeshellyGeorge",0,FALSE,FALSE,NA,NA
"My grandfather is also a medical marijuana patient, he uses RSO for his Parkinson's disease and cancer!",FALSE,2,NA,2017-04-30 06:11:30,FALSE,NA,"858564450189623296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amadorneon",0,FALSE,FALSE,NA,NA
"Who has marijuana at this hour",FALSE,2,NA,2017-04-30 06:10:10,FALSE,NA,"858564112925773824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RaybonPace",0,FALSE,FALSE,NA,NA
"Marijuana Beer!! Hirter Bio Hanfbier By Brauerei Hirt | Austrian Craft Beer Review https://t.co/4GXzWKyhyi",FALSE,0,NA,2017-04-30 06:10:05,FALSE,NA,"858564091937476609",NA,"<a href=""http://beerposts.com"" rel=""nofollow"">TASC BeerPosts</a>","Beer_Posts",1,FALSE,FALSE,NA,NA
"Rolling marijuana that's a cheap vacation",FALSE,3,NA,2017-04-30 06:09:03,FALSE,NA,"858563833622700032",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","esparasae",0,FALSE,FALSE,NA,NA
"#Philadelphia DA candidate Larry Krasner running to end absurd #marijuana prosecutions. Good luck, Larry! https://t.co/jREdOOfJDK #Philly",FALSE,1,NA,2017-04-30 06:08:13,FALSE,NA,"858563621265321984",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","LetHumanismRing",0,FALSE,FALSE,NA,NA
"Marijuana Use And Minnesota Drivers https://t.co/PCPoh12Nck",FALSE,0,NA,2017-04-30 06:06:49,FALSE,NA,"858563269795119105",NA,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","MinnesotaInjury",0,FALSE,FALSE,NA,NA
"NY medical marijuana companies sue over state’s plan to expand program – Albany Times Union
https://t.co/zjUIcvURrW",FALSE,0,NA,2017-04-30 06:06:41,FALSE,NA,"858563236370817025",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","droolindog",0,FALSE,FALSE,NA,NA
"I am a medical marijuana patient! My MD prescribe marijuana for my hidradenitis suppurative and the marijuana is helping a lot!",FALSE,2,NA,2017-04-30 06:06:31,FALSE,NA,"858563196168228865",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amadorneon",0,FALSE,FALSE,NA,NA
"@K4LEN_G @DameIsDead Bro who tf dies from marijuana? Bob, tighten up dude<ed><U+00A0><U+00BD><ed><U+00B9><U+0084><ed><U+00A0><U+00BD><ed><U+00B9><U+0084>",FALSE,0,"K4LEN_G",2017-04-30 06:06:03,FALSE,"858527767968849920","858563078442635264","778143423702392832","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thehomiejet",0,FALSE,FALSE,NA,NA
"As soon as some recreational marijuana shops open up here in Cali, I'm getting woke &amp; boke",FALSE,0,NA,2017-04-30 06:05:17,FALSE,NA,"858562882723758080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","explicitweetz",0,FALSE,FALSE,NA,NA
"All-cash #Business a #Headache for the marijuana #Industry: https://t.co/3x2wtMz9EU, https://t.co/GRshMDUHVI",FALSE,0,NA,2017-04-30 06:05:16,FALSE,NA,"858562877904621568",NA,"<a href=""http://www.mambolook.com/kenya/business"" rel=""nofollow"">KenyaBusiness</a>","KenyaBiashara",0,FALSE,FALSE,NA,NA
"@iANFUCKiNSUCKS sits down in chair smelling of dank marijuana odor. h-hey.. my name is Hazel grace lancaster",FALSE,1,"iANFUCKiNSUCKS",2017-04-30 06:05:03,FALSE,"858562537763336192","858562826327162880","858115488278347778","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","420BLAZEiTDEVON",0,FALSE,FALSE,NA,NA
"#StockTip - $UBQU is the hottest #weedstock right now &gt; https://t.co/GbTyr3jVeA @doebop $ACBFF  $VAPE  $PRRE  #potstocks",FALSE,0,NA,2017-04-30 06:04:37,FALSE,NA,"858562717862342656",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","T_O_Broker",0,FALSE,FALSE,NA,NA
"@420BLAZEiTDEVON hey devon welcome to marijuana users anonymous",FALSE,1,"420BLAZEiTDEVON",2017-04-30 06:03:54,FALSE,"858562349569126400","858562537763336192","804369676914556929","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iANFUCKiNSUCKS",0,FALSE,FALSE,NA,NA
"NY medical marijuana companies sue over state’s plan to expand program – Albany Times Union https://t.co/2Pkwt0islk",FALSE,0,NA,2017-04-30 06:03:09,FALSE,NA,"858562349040619521",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","MeshellyGeorge",0,FALSE,FALSE,NA,NA
"Approve Medical Marijuana for Chronic Pain in Indiana! https://t.co/ZkXnRcyTuF",FALSE,0,NA,2017-04-30 06:02:53,FALSE,NA,"858562280597987328",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Jacqueline_Th",0,FALSE,FALSE,NA,NA
"@nameoftheyear @WhensQ @toiletmom i hear tell good things about ""marijuana cigarettes""",FALSE,0,"nameoftheyear",2017-04-30 06:02:19,FALSE,"858561670221672450","858562137710444545","104268834","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","brian_hanson",0,FALSE,FALSE,NA,NA
"I smell marijuana - Shania Twain",FALSE,4,NA,2017-04-30 06:01:36,FALSE,NA,"858561956524851200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kendallTlee",1,FALSE,FALSE,NA,NA
"#marijuana NY medical marijuana companies sue over state's plan to expand program - Albany Times Union … https://t.co/CUmyQI92Wu",FALSE,0,NA,2017-04-30 06:01:15,FALSE,NA,"858561869761609728",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","PacificBeachMJ",0,FALSE,FALSE,NA,NA
"Rolling marijuana that's a shit vacation, my everyday shit every night shit",FALSE,1,NA,2017-04-30 06:00:08,FALSE,NA,"858561586625208321",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","VictorrRucoba",0,FALSE,FALSE,NA,NA
"@DomainKing What the hell... https://t.co/81bIf7pvRK $14k This weekend only.",FALSE,0,"DomainKing",2017-04-30 05:59:21,FALSE,"858260363090984960","858561389002014720","16099597","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DomainNoob",0,FALSE,FALSE,NA,NA
"@BradSherman N. Korea doesn't export marijuana to the U.S. Remember how marijuana is illegal and the U.S. hates N.… https://t.co/42kKLPVdr8",FALSE,0,"FakerFangirl",2017-04-30 05:57:17,TRUE,"858560833806368768","858560868879093760","2444565787","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FakerFangirl",0,FALSE,FALSE,NA,NA
"@BradSherman ... inside a bale of marijuana. The radioactive material alone would be up to 600kg just to achieve critical mass! (cont...)",FALSE,0,"FakerFangirl",2017-04-30 05:57:08,FALSE,"858560801581543425","858560833806368768","2444565787","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FakerFangirl",0,FALSE,FALSE,NA,NA
"Now playing Pass the Marijuana by Mystic Roots!
https://t.co/4mUkhKtU5O",FALSE,0,NA,2017-04-30 05:56:48,FALSE,NA,"858560749253382144",NA,"<a href=""https://airtime.pro"" rel=""nofollow"">Airtime Pro</a>","ur_radio",0,FALSE,FALSE,NA,NA
"rolling marijuana that's a cheap vacation",FALSE,0,NA,2017-04-30 05:56:18,FALSE,NA,"858560624242110464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","darealcap1",1,FALSE,FALSE,NA,NA
"Thank god for marijuana",FALSE,1,NA,2017-04-30 05:55:04,FALSE,NA,"858560311795736576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MsMottner",1,FALSE,FALSE,NA,NA
"@BenHooperWrites @BradSherman I didn't know a crate of marijuana could weigh 600kg!",FALSE,1,"BenHooperWrites",2017-04-30 05:54:22,FALSE,"857758942268723201","858560137937727488","4928431239","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FakerFangirl",0,FALSE,FALSE,NA,NA
"Ronald Reagan . quote: I now have absolute proof that smoking even one marijuana cigarette is equal in brain damage… https://t.co/y0FBN0KAZT",FALSE,0,NA,2017-04-30 05:54:02,FALSE,NA,"858560054412234752",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Next420info",0,FALSE,FALSE,NA,NA
"Remember when rick James invented marijuana",FALSE,3,NA,2017-04-30 05:53:27,FALSE,NA,"858559903950151680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jemeh",0,FALSE,FALSE,NA,NA
"@pqpolitics @DCTFTW Is the solution legalizing marijuana? Will those currently dealing marijuana switch over to fen… https://t.co/7gDG57KCg1",FALSE,0,"pqpolitics",2017-04-30 05:53:01,TRUE,"858557383965945857","858559795653001220","246667561","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","604Raincouver",1,FALSE,FALSE,NA,NA
"Queen Victoria eased the discomfort of her menstrual cramps by having her doctor supply her with marijuana.
#MatanglawinMAYWARDChallenge",FALSE,0,NA,2017-04-30 05:52:46,FALSE,NA,"858559732679811072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gnasam1028",1,FALSE,FALSE,NA,NA
"Is Synthetic Marijuana To Blame For Aaron Hernandez’s Suicide?
Aaron Hernandez might have been out of control at...https://t.co/xIhxb8KPi0",FALSE,1,NA,2017-04-30 05:51:46,FALSE,NA,"858559482439356417",NA,"<a href=""https://fanpagerobot.com/"" rel=""nofollow"">Fan Page Robot</a>","PatriotsCentral",0,FALSE,FALSE,NA,NA
"Paparazzi have spotted Pitote the midfielder for MyFutFace FC intoxicated and possibly under the influence of marijuana",FALSE,0,NA,2017-04-30 05:51:40,FALSE,NA,"858559458720468996",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tmayorga_",0,FALSE,FALSE,NA,NA
"Going to College May Increase Risk of Marijuana Use https://t.co/dZc7OgcyYU",FALSE,0,NA,2017-04-30 05:51:07,FALSE,NA,"858559320740421634",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","GeratorTrdplc",0,FALSE,FALSE,NA,NA
"@Tjeffpreteen He chuckled. ""Weed is another word for the Marijuana plant. You probably shouldn't smoke it though.""… https://t.co/r32Tz1626d",FALSE,1,"Tjeffpreteen",2017-04-30 05:51:05,TRUE,"858558848340119552","858559310158217220","828371172014190592","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SincerelyDearly",0,FALSE,FALSE,NA,NA
"Marijuana can significantly relieve painful menstrual cramps.",FALSE,0,NA,2017-04-30 05:51:00,FALSE,NA,"858559288310149120",NA,"<a href=""http://www.kucukbeyin.com/"" rel=""nofollow"">fkjdshfjksdnkjfaskjd</a>","GoogleTipsFacts",0,FALSE,FALSE,NA,NA
"If it ain't marijuana leave it alone",FALSE,0,NA,2017-04-30 05:50:00,FALSE,NA,"858559039155916800",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","powapac25",0,FALSE,FALSE,NA,NA
"Damnnnn Chris. His Marijuana test came back positive ;____;",FALSE,0,NA,2017-04-30 05:47:19,FALSE,NA,"858558364380311554",NA,"<a href=""http://kucukbeyin.com/"" rel=""nofollow"">aaersfdasedsfad</a>","chrisbrownfcf",0,FALSE,FALSE,NA,NA
"""People mentioning marijuana were either between 25-30 or 65+.No one in the 30-65 range remarked on marijuana."" https://t.co/jVyiG51oY2",FALSE,0,NA,2017-04-30 05:46:54,FALSE,NA,"858558256121208833",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BerniSingley",0,FALSE,FALSE,NA,NA
"Someone do marijuana with me",FALSE,4,NA,2017-04-30 05:46:49,FALSE,NA,"858558237309886464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kaleigh_obrien",0,FALSE,FALSE,NA,NA
"4 Surprising Health Benefits of Juicing Raw Marijuana https://t.co/RF6ydrhFka",FALSE,0,NA,2017-04-30 05:46:27,FALSE,NA,"858558143474921472",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","hottasummer",0,FALSE,FALSE,NA,NA
"does every rapper smoke marijuana?",FALSE,2,NA,2017-04-30 05:41:20,FALSE,NA,"858556855890706432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","noahcurticiann",0,FALSE,FALSE,NA,NA
"Going to College May Increase Risk of Marijuana Use https://t.co/PzkMeW6LDq",FALSE,0,NA,2017-04-30 05:41:16,FALSE,NA,"858556839142862848",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","SpaceMedic",0,FALSE,FALSE,NA,NA
