"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"Permits to be issued soon for Pa. medical marijuana facilities https://t.co/P9lbZEUN4t",FALSE,0,NA,2017-05-09 05:32:24,FALSE,NA,"861816101033746432",NA,"<a href=""http://daggamagazine.com"" rel=""nofollow"">Dagga Magazine</a>","DaggaMagazine",0,FALSE,FALSE,NA,NA,"South Africa","en","http://pbs.twimg.com/profile_images/522826429919006721/LDAu1Vf6_normal.jpeg"
"@jeremycorbyn They will ban junk food ads but Trudope will make it LEGAL for youth 12 to 18 years of age to possess… https://t.co/TgFPbggw6W",FALSE,0,"jeremycorbyn",2017-05-09 05:30:34,TRUE,"861682134876119045","861815636607066112","117777690","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GailDyer10",0,FALSE,FALSE,NA,NA,"Peterborough, Ontario.","en","http://pbs.twimg.com/profile_images/755842366821502976/bix7RyZ1_normal.jpg"
"@chrisbkremes How much marijuana have you inhaled? You can be honest with me. This is a judgement-free zone.",FALSE,1,"chrisbkremes",2017-05-09 05:29:59,FALSE,"861808286932373504","861815489764483072","977121740","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","johnnywizzz",0,FALSE,FALSE,NA,NA,"Freehold, NJ","en","http://pbs.twimg.com/profile_images/717512964501282817/o_osy1KM_normal.jpg"
"Lauren and her boyfriend are sitting here arguing about Marijuana in Australian accents.... it's honestly great.",FALSE,0,NA,2017-05-09 05:29:32,FALSE,NA,"861815377466200064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_whooolia_",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/856637455436525568/jFcNA-Jk_normal.jpg"
"What American Families Think About Marijuana [Infographic] https://t.co/Iymffp7TaK",FALSE,0,NA,2017-05-09 05:28:38,FALSE,NA,"861815149946130433",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PierreConfrenco",0,FALSE,FALSE,NA,NA,"Knoxville, TN","en","http://pbs.twimg.com/profile_images/723673404293804034/Vt9IGsdl_normal.jpg"
"What’s next for medicinal marijuana in Florida? – WTXL ABC 27 https://t.co/RFzxtX8UXW",FALSE,0,NA,2017-05-09 05:28:29,FALSE,NA,"861815113723936768",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","newsroundcom",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/2530969713/ra9tptt4wbu3a9pke82o_normal.jpeg"
"i want to release a song called IM ON Marijuana <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",FALSE,1,NA,2017-05-09 05:27:40,FALSE,NA,"861814909847429120",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","DeejayChee",0,FALSE,FALSE,NA,NA,"Cambodia","en","http://pbs.twimg.com/profile_images/549258098284584961/t-GQ8F97_normal.jpeg"
"Beat:W3, MARIJUANA PUBLIC USE (NOT DISPENSARY) at 80XX BLOCK OF FAUNTLEROY WY SW reported on 5/8/2017 9:47 PM, Call# 17000161720",FALSE,0,NA,2017-05-09 05:27:18,FALSE,NA,"861814817169920000",NA,"<a href=""http://www.seattle.gov"" rel=""nofollow"">SPD Beat W3</a>","SeattlePDW3",0,FALSE,FALSE,NA,NA,"Seattle, WA","en","http://pbs.twimg.com/profile_images/2511778766/yua40mtin6jkfjva7s75_normal.png"
"“As marijuana advertising continues to be banned by mainstream networks,  $MCIG",FALSE,0,NA,2017-05-09 05:25:11,FALSE,NA,"861814285185544192",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BosseGary",0,FALSE,FALSE,NA,NA,"Manhattan, NY","en","http://pbs.twimg.com/profile_images/831388792590311424/4v2Ynzw6_normal.jpg"
"@DRUDGE_REPORT Now Laura, I'm sorry but Marijuana is one thing Conservatives (I am one) got wrong. Phony conclusion… https://t.co/55SqcW6jVv",FALSE,0,"DRUDGE_REPORT",2017-05-09 05:24:44,TRUE,"861754016572637184","861814170345496576","14669951","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Michael32Gman",0,FALSE,FALSE,NA,NA,"United States","en","http://pbs.twimg.com/profile_images/847714993189437440/8yyzRyCQ_normal.jpg"
