"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@peterdaou It's like putting a frog in a slow boiling pot of water - by the time frog knows it's not good - it's too late. Are we the frogs?",FALSE,0,"peterdaou",2017-04-25 21:03:38,FALSE,"856973573533184006","856977023008256000","18464266","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Homecoming_1987",0,FALSE,FALSE,NA,NA
"Trudeau's hypocrisy on pot pardons is ruining lives https://t.co/Lfpr7HplrY",FALSE,0,NA,2017-04-25 21:03:31,FALSE,NA,"856976990401855488",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","joshuaostroff",0,FALSE,FALSE,NA,NA
"Posted my ""I'm moving schools!"" Announcement to Facebook; I hope I didn't stir the pot by saying music can be elitist at times lmfao",FALSE,0,NA,2017-04-25 21:03:26,FALSE,NA,"856976973414842368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","primadonnamezzo",0,FALSE,FALSE,NA,NA
"@ATwistedRosalia -over an iron pot in the middle of the forest. Perhaps it is more of act of cooking, preparing and… https://t.co/8xdcFFKcni",FALSE,0,"SavorThyFlesh",2017-04-25 21:03:26,TRUE,"856976814442299392","856976972051759104","802306620675866624","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SavorThyFlesh",0,FALSE,FALSE,NA,NA
"He said ""quarter ounce"" of pot <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B2><U+0080><ed><U+00A0><U+00BD><ed><U+00B2><U+0080><ed><U+00A0><U+00BD><ed><U+00B2><U+0080><ed><U+00A0><U+00BD><ed><U+00B2><U+0080><ed><U+00A0><U+00BD><ed><U+00B2><U+0080><ed><U+00A0><U+00BD><ed><U+00B2><U+0080><ed><U+00A0><U+00BD><ed><U+00B2><U+0080><ed><U+00A0><U+00BD><ed><U+00B2><U+0080>",FALSE,0,NA,2017-04-25 21:03:16,FALSE,NA,"856976930616229888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mae_sammi",0,FALSE,FALSE,NA,NA
"Texas advocates push longshot pot bills with veterans, moms https://t.co/hg5128KIsD",FALSE,0,NA,2017-04-25 21:03:08,FALSE,NA,"856976896461914112",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","MNPolitic",0,FALSE,FALSE,NA,NA
"5 bloods for a rejuv pot :O",FALSE,0,NA,2017-04-25 21:03:04,FALSE,NA,"856976881136095232",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Araselo",0,FALSE,FALSE,NA,NA
"#USA #FoxNews https://t.co/y2pkBkoClR Texas advocates push longshot pot bills with veterans, moms",FALSE,0,NA,2017-04-25 21:03:04,FALSE,NA,"856976877801656320",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","rncmall",0,FALSE,FALSE,NA,NA
"@CarlBanksGIII They gave a guy who got kicked out of Florida for pot $50 mill last offseason.",FALSE,0,"CarlBanksGIII",2017-04-25 21:03:03,FALSE,"856681092832800769","856976876069412866","348076699","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jmshubert",0,FALSE,FALSE,NA,NA
"Neti pot to the rescue <ed><U+00A0><U+00BD><ed><U+00B8><U+0091><ed><U+00A0><U+00BD><ed><U+00B8><U+00B7><ed><U+00A0><U+00BE><ed><U+00B4><U+00A7>",FALSE,0,NA,2017-04-25 21:02:59,FALSE,NA,"856976857790648329",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gekakisKat",0,FALSE,FALSE,NA,NA
