"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"@bobrobkel Pot kettle and all that...",FALSE,0,"bobrobkel",2017-05-09 17:37:19,FALSE,"861991937179623424","861998530298343430","730187846917722112","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The_LadyK",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/836692237518057474/rhc1niCX_normal.jpg"
"@r_c_g_c @NikiJabbour Think you'd need a big pot for these. I successfully grew some Asiatics in a pot last yr.",FALSE,0,"r_c_g_c",2017-05-09 17:36:55,FALSE,"861687592152072196","861998429156720640","443265409","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","SbredsFarm",0,FALSE,FALSE,NA,NA,"British Columbia, Canada","en","http://pbs.twimg.com/profile_images/734917045834387463/1NOTg17o_normal.jpg"
"@WorldSnooker1 #AskTheRef on free ball situation using the free ball as an extra colour as a red can I hit this onto another red to pot it??",FALSE,0,"WorldSnooker1",2017-05-09 17:36:36,FALSE,NA,"861998351407042561","26250599","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jonesmonster197",0,FALSE,FALSE,NA,NA,"England, United Kingdom","en","http://pbs.twimg.com/profile_images/838186153459208193/2q50uIfF_normal.jpg"
"@Mikaylowry woah remember that good ass pot pie we downed",FALSE,0,"Mikaylowry",2017-05-09 17:36:31,FALSE,"861799996634607617","861998329319895040","720272752","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gabzmartini",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/861733832395018240/3jGs3kef_normal.jpg"
"Screw you pot hole",FALSE,1,NA,2017-05-09 17:36:28,FALSE,NA,"861998315524812804",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jhoerny1",0,FALSE,FALSE,NA,NA,"new orleans","en","http://pbs.twimg.com/profile_images/845702029951619073/UJUbJEYT_normal.jpg"
"Someone stole my debit card # and treated themselves to an escort service, chicken pot pie and expensive body lotion. #FunNight",FALSE,0,NA,2017-05-09 17:35:40,FALSE,NA,"861998115636772864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","amixofmin",0,FALSE,FALSE,NA,NA,"Boston","en","http://pbs.twimg.com/profile_images/861623176828203011/cfymHnQQ_normal.jpg"
"One wrong turn and this flower pot spilled all over the back or my car <ed><U+00A0><U+00BD><ed><U+00B9><U+0088>",FALSE,0,NA,2017-05-09 17:35:34,FALSE,NA,"861998091347546112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JessicaNemeyer",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/766479637388021760/qmAAj0Bk_normal.jpg"
"@BoSnerdley @mschlapp Yet ppl want the states to decide on pot legalization but not preexsiting conditions! Smh #hypocrites",FALSE,0,"BoSnerdley",2017-05-09 17:35:20,FALSE,"861938496377892864","861998029636648960","466864852","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sarahjeanea",1,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/850561956503207937/RTTDid8Y_normal.jpg"
"<U+27A4> Today's Best Deals: Instant Pot, Dremel, Sous-Vide, and More https://t.co/lY2jg8oGjl",FALSE,0,NA,2017-05-09 17:35:01,FALSE,NA,"861997952155496448",NA,"<a href=""http://pluggio.com"" rel=""nofollow"">Pluggio</a>","pOOterPuTz",0,FALSE,FALSE,NA,NA,"Vulcan","en","http://pbs.twimg.com/profile_images/2229976510/pOOterPuTz_150x150_normal.jpg"
"@LateTackle meaningless statistic based on something changing it's name. 1992 , the Pol Pot year of football.",FALSE,0,"LateTackle",2017-05-09 17:34:47,FALSE,"861974499037786112","861997894429270016","315140148","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","magictorchessex",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/2620117467/qlea62r2ikc5n6szabu6_normal.jpeg"
