"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Weed Richards #StonedComicBooks @midnight",FALSE,0,NA,2017-04-20 06:51:32,FALSE,NA,"854950644485992448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FishKzor",0,FALSE,FALSE,NA,NA
"@BuSh__IgBoBoY It's not Marley day o lol bob Marley didn't invent weed na lol. It's a day for weed smokers to celebrate weed that's all",FALSE,0,"BuSh__IgBoBoY",2017-04-20 06:51:31,FALSE,"854949955001364481","854950641646665730","2644584832","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","6fthobbit",0,FALSE,FALSE,NA,NA
"i wish i could bring back a big ass jar of weed with me smh",FALSE,0,NA,2017-04-20 06:51:31,FALSE,NA,"854950640157573120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Magical_taco",0,FALSE,FALSE,NA,NA
"@duroyarceo06 weed day kanu fren",FALSE,1,"duroyarceo06",2017-04-20 06:51:26,FALSE,"854950229522735104","854950620742201344","765558477863448576","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","TrinaJaneM",1,FALSE,FALSE,NA,NA
"Am I the only one who doesn't smoke weed?",FALSE,0,NA,2017-04-20 06:51:26,FALSE,NA,"854950620125638656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LarryDasiago",0,FALSE,FALSE,NA,NA
"what if weed got legalized on the 19th.. imagine how weird it'll be just saying 4/19 <ed><U+00A0><U+00BD><ed><U+00B2><U+0080>",FALSE,0,NA,2017-04-20 06:51:23,FALSE,NA,"854950605810421760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WolfBoyChristen",0,FALSE,FALSE,NA,NA
"Happy 4/20 Mr. @MbalulaFikile, I bet ya will get the best weed in the land. stay real <ed><U+00A0><U+00BD><ed><U+00B2><U+00AF>",FALSE,0,NA,2017-04-20 06:51:19,FALSE,NA,"854950588156694528",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ChrisJaberdy",0,FALSE,FALSE,NA,NA
"has anyone ever smoked weed out of the garbage folder on their laptop",FALSE,0,NA,2017-04-20 06:51:16,FALSE,NA,"854950576383307776",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","seanpaulsfriend",0,FALSE,FALSE,NA,NA
"This 420 hydroponic weed shopfront is all substance, no actual drugs: https://t.co/3YKZwi854y",FALSE,0,NA,2017-04-20 06:51:16,FALSE,NA,"854950575611490304",NA,"<a href=""http://babylon.hype.social"" rel=""nofollow"">TwittHub</a>","kyliehellewege",0,FALSE,FALSE,NA,NA
"This 420 hydroponic weed shopfront is all substance, no actual drugs https://t.co/XjSA3zpPk1",FALSE,0,NA,2017-04-20 06:51:12,FALSE,NA,"854950559589306369",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","fastnewstech",0,FALSE,FALSE,NA,NA
"when i was tripping a few days ago, i got lost staring at a little nug of weed. i felt like i birthed him he was so fucking cute and squishy",FALSE,0,NA,2017-04-20 06:51:11,FALSE,NA,"854950557320183808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","natwhortiz",0,FALSE,FALSE,NA,NA
"Those dabs put me in a weed coma",FALSE,0,NA,2017-04-20 06:51:09,FALSE,NA,"854950546196889600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ray2Ignant",0,FALSE,FALSE,NA,NA
